GEOID,NAME,NAMEmsa,tpopr,pwhite,pblack,pasian,phisp,povr,ttrips,PM25,mpm,npm
36081046200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7012,0.035653166,0.114945807,0.396463206,0.324729036,0.086139507,113056,7.973185792,8.146048468,7.970563989
36081048100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6386,0.09223301,0.031788287,0.514876292,0.341998121,0.117875648,105422,8.311626503,8.400617102,8.313597723
36081049600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3199,0.048452641,0.198812129,0.278211941,0.283526102,0.059706158,68452,7.920097268,8.073975372,7.922480601
36081050202,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1399,0.009292352,0.722659042,0.110793424,0.092923517,0.11199422,25837,7.924214208,8.080125881,7.920204918
36005040400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3370,0.019287834,0.872106825,0,0.1,0.139169139,60673,8.359079508,8.384386234,8.360524746
36005040800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4595,0.08835691,0.580848749,0.007181719,0.289227421,0.27921654,67384,8.381539071,8.383467976,8.382091639
36005041800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3957,0.029567854,0.46550417,0.134445287,0.30831438,0.248977505,52535,8.375230328,8.386693829,8.379820811
36005042901,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4046,0.124567474,0.050914483,0.246663371,0.561295106,0.334570651,46941,8.382017213,8.413426131,8.369519809
36005045800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5605,0.003568243,0.325066905,0.011061552,0.626940232,0.434460315,103725,8.352350273,8.358752008,8.347264891
36047020600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2417,0.578816715,0.004551096,0.270997104,0.145635085,0.075299959,37940,8.691481967,8.614603656,8.695154606
36047021900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3568,0.247757848,0.573150224,0.069506726,0.093329596,0.204596413,40852,8.652161749,8.574982085,8.653993685
36047022900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3841,0.36787295,0.446498308,0.084613382,0.077323614,0.167405476,44997,8.654195902,8.598825535,8.649195956
36047025100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3534,0.18336163,0.587719298,0.024335031,0.174306735,0.325976231,59165,8.623348907,8.581065243,8.625899727
36047026200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2550,0.281568627,0.016470588,0.471372549,0.210980392,0.214509804,45385,8.638595628,8.591687744,8.639567077
36047027600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3804,0.277865405,0.002365931,0.331493165,0.367245005,0.145011908,57254,8.625046995,8.586882213,8.617486612
36081037700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3691,0,0.082091574,0.009482525,0.908425901,0.142460428,57752,8.246841803,8.329915477,8.241459251
36081040700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",9272,0.027610009,0.013912856,0.035591027,0.917493529,0.20291792,115553,8.229563388,8.335148358,8.227941348
36081042600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",488,0.366803279,0.485655738,0.036885246,0.110655738,0.916030534,897,7.918955191,8.164961825,7.913224499
36081043702,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6493,0.0474357,0.081318343,0.137840752,0.718928076,0.235792392,104996,8.177845628,8.290328849,8.187685075
36081044601,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3144,0.016221374,0.296119593,0.210877863,0.451653944,0.170910248,55112,7.991161749,8.229919538,7.989856694
36047084000,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2469,0.027946537,0.895909275,0.015390846,0.052247874,0.076144188,39580,8.495744809,8.491684446,8.495997541
36047086800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3325,0.023157895,0.794887218,0.022255639,0.126917293,0.172088781,60349,8.527612295,8.514328217,8.536724681
36047089800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1614,0.016728625,0.881660471,0.011771995,0.074349442,0.271995043,83012,8.469399727,8.458300276,8.46565592
36047093000,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3030,0.006270627,0.95379538,0.004620462,0.006270627,0.113651425,44323,8.449610109,8.491400347,8.451041462
36047094600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1849,0.018929151,0.91563007,0.021633315,0.043807463,0.108166577,30819,8.463991257,8.487784987,8.475556489
36047098400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2086,0.041706616,0.912751678,0.006711409,0.038830297,0.060386473,37291,8.324547814,8.440875262,8.314285519
36047100400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2645,0.046502836,0.92173913,0.005671078,0.017013233,0.075614367,54419,8.343711749,8.452922719,8.349202186
36047100600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2500,0.0656,0.8556,0.02,0.0276,0.138331997,55555,8.331871038,8.450927892,8.343787796
36047101600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1802,0.032186459,0.912874584,0.038290788,0.012208657,0.039149888,15966,8.300431967,8.402482724,8.307128306
36061020101,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1803,0.578480311,0.126455907,0.143094842,0.102606767,0.125588697,16532,8.51111694,8.513237265,8.508427596
36061020701,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3036,0.451910408,0.098484848,0.243741765,0.164361001,0.350840336,22681,8.493081967,8.548997942,8.506739891
36061022200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3450,0.314492754,0.449565217,0.068695652,0.108115942,0.289334119,48863,8.452815847,8.52522882,8.454795947
36061022600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4816,0.192068106,0.504775748,0.028862126,0.217815615,0.280605806,66952,8.428856557,8.499271764,8.435831421
36081070300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1919,0.458572173,0.027097447,0.254299114,0.249088067,0.028139656,39534,8.199733607,8.293007213,8.194171546
36081071305,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5117,0.444205589,0.024428376,0.29978503,0.224154778,0.063709205,56802,8.159079781,8.300324522,8.154281216
36005001600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5917,0.037181004,0.33665709,0,0.608923441,0.222770532,99949,8.215389617,8.338354156,8.207544614
36005002500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5887,0.016137252,0.197384067,0.001189061,0.774927807,0.398195438,69267,8.332107104,8.411541841,8.323248798
36005003800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1434,0,0.326359833,0.00488145,0.668758717,0.219409283,27369,8.211442077,8.294648555,8.217435519
36005004600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1817,0.055035773,0.34947716,0,0.586681343,0.327977839,23590,8.221897814,8.3302753,8.215900656
36005007100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2722,0.019838354,0.322556943,0.021307862,0.624173402,0.224896578,46812,8.280271311,8.402753663,8.289186582
36005011502,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4437,0.00721208,0.366689204,0.002028398,0.61663286,0.427122642,69919,8.221761202,8.364483961,8.229516393
36081016300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3504,0.168949772,0.209474886,0.089611872,0.53196347,0.250285388,69447,8.419561475,8.401366609,8.433553859
36081017400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2455,0.012627291,0.355600815,0.195112016,0.229735234,0.119755601,41659,8.017997541,8.118991491,8.008319399
36081018502,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3679,0.446045121,0.019026909,0.187822778,0.340853493,0.117679107,36599,8.47106694,8.471367434,8.472731557
36081022001,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6124,0.250326584,0.147615937,0.221097322,0.365774004,0.129113078,86105,8.042973224,8.235339067,8.05374388
36081023500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",8065,0.113453193,0.008307502,0.303409795,0.561066336,0.154370738,116547,8.45714071,8.44462242,8.45975082
36081026300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6402,0.125429553,0,0.53811309,0.315526398,0.171352702,119872,8.371972131,8.420840254,8.369143352
36081027600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1533,0.012393999,0.767123288,0.063274625,0.112198304,0.076570681,24178,7.951335519,8.139609767,7.950631304
36081071900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2287,0.557936161,0.055531264,0.226060341,0.131176213,0.213817228,45777,8.177517213,8.253271829,8.173601835
36081072900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1419,0.477096547,0.031007752,0.346723044,0.10782241,0.05106383,27108,8.170507924,8.291103509,8.161309836
